TRLN,GTEE,MTHD,KEEP,STEE_AV,STEE_SE
10M,"[20,50)",astral,1000,0.0396975652174,0.00997174603631
10M,"[20,50)",astral,750,0.0340264347826,0.00754088002562
10M,"[20,50)",astral,500,0.0189035217391,0.00522921118286
10M,"[20,50)",astral,250,0.0207938695652,0.00525883772129
10M,"[20,50)",astral,100,0.0189035217391,0.00645278804761
10M,"[20,50)",astral,50,0.0264649565217,0.00694003170361
10M,"[20,50)",astrid,1000,0.0340265217391,0.00998732093141
10M,"[20,50)",astrid,750,0.0302457391304,0.00776421134269
10M,"[20,50)",astrid,500,0.0189035217391,0.00522921118286
10M,"[20,50)",astrid,250,0.0189035217391,0.00522921118286
10M,"[20,50)",astrid,100,0.0189035217391,0.00522921118286
10M,"[20,50)",astrid,50,0.0264649565217,0.00581981237281
10M,"[20,50)",mpest,1000,0.0340264782609,0.00884905223592
10M,"[20,50)",mpest,750,0.0302457391304,0.00776421134269
10M,"[20,50)",mpest,500,0.0207938695652,0.00525883772129
10M,"[20,50)",mpest,250,0.0170131304348,0.0044244885622
10M,"[20,50)",mpest,100,0.0189035217391,0.00645278804761
10M,"[20,50)",mpest,50,0.0264649565217,0.00694003170361
10M,"[20,50)",caml,1000,0.0113420869565,0.00398086903428
10M,"[20,50)",caml,750,0.0094517826087,0.00459674349017
10M,"[20,50)",caml,500,0.0132324347826,0.00417144782082
10M,"[20,50)",caml,250,0.0151227826087,0.00431785871061
10M,"[20,50)",caml,100,0.0226842608696,0.00700687261386
10M,"[20,50)",caml,50,0.0415879565217,0.00823048494104
10M,"[20,50)",svdquartets,1000,0.0623817826087,0.0160014445149
10M,"[20,50)",svdquartets,750,0.056710826087,0.0137451043646
10M,"[20,50)",svdquartets,500,0.0623819130435,0.0124895983163
10M,"[20,50)",svdquartets,250,0.0642722608696,0.0127846674008
10M,"[20,50)",svdquartets,100,0.0586011304348,0.0132618436365
10M,"[20,50)",svdquartets,50,0.0737240869565,0.0142555877574
10M,"[50,80)",astral,1000,0.0702341923077,0.0140063535835
10M,"[50,80)",astral,750,0.0618728846154,0.0125525234631
10M,"[50,80)",astral,500,0.0568561923077,0.0117698339881
10M,"[50,80)",astral,250,0.0484950384615,0.00830314432821
10M,"[50,80)",astral,100,0.055184,0.00990943082857
10M,"[50,80)",astral,50,0.0635451923077,0.0108967767676
10M,"[50,80)",astrid,1000,0.0769231538462,0.0148269835801
10M,"[50,80)",astrid,750,0.0618728846154,0.0138247201071
10M,"[50,80)",astrid,500,0.0585284615385,0.0115717187744
10M,"[50,80)",astrid,250,0.0501672307692,0.00842529950415
10M,"[50,80)",astrid,100,0.0551839615385,0.00932797800862
10M,"[50,80)",astrid,50,0.0685619230769,0.0134140764951
10M,"[50,80)",mpest,1000,0.0869566153846,0.0149569984998
10M,"[50,80)",mpest,750,0.0735786538462,0.0139447877862
10M,"[50,80)",mpest,500,0.0685618461538,0.013824720286
10M,"[50,80)",mpest,250,0.0668896153846,0.0142348522955
10M,"[50,80)",mpest,100,0.0685618461538,0.013824720286
10M,"[50,80)",mpest,50,0.0869565384615,0.0165543527038
10M,"[50,80)",caml,1000,0.0301003846154,0.00845079228264
10M,"[50,80)",caml,750,0.0284281538462,0.00850787218907
10M,"[50,80)",caml,500,0.0384615769231,0.00830314313645
10M,"[50,80)",caml,250,0.0434782692308,0.0103083976416
10M,"[50,80)",caml,100,0.0602007307692,0.0100548822953
10M,"[50,80)",caml,50,0.0702342307692,0.0113606467504
10M,"[50,80)",svdquartets,1000,0.0903010384615,0.0147542698349
10M,"[50,80)",svdquartets,750,0.0919733461538,0.0148306222187
10M,"[50,80)",svdquartets,500,0.0903010769231,0.0143702093531
10M,"[50,80)",svdquartets,250,0.105351307692,0.0172448718928
10M,"[50,80)",svdquartets,100,0.138796076923,0.0170567347666
10M,"[50,80)",svdquartets,50,0.175585307692,0.0258501192382
2M,"[20,50)",astral,1000,0.027667969697,0.00692626740929
2M,"[20,50)",astral,750,0.030303,0.00684221639859
2M,"[20,50)",astral,500,0.032938030303,0.00590107635736
2M,"[20,50)",astral,250,0.0447957575758,0.00779121001824
2M,"[20,50)",astral,100,0.075098969697,0.0109080813112
2M,"[20,50)",astral,50,0.0922266969697,0.0118953653415
2M,"[20,50)",astrid,1000,0.0223978484848,0.00562729756446
2M,"[20,50)",astrid,750,0.027668,0.00640545272122
2M,"[20,50)",astrid,500,0.030303030303,0.00631447264185
2M,"[20,50)",astrid,250,0.0382080909091,0.00828210788585
2M,"[20,50)",astrid,100,0.055336030303,0.00955052142822
2M,"[20,50)",astrid,50,0.0895916060606,0.0126289186512
2M,"[20,50)",mpest,1000,0.0329380909091,0.00722367234752
2M,"[20,50)",mpest,750,0.0316205454545,0.0075162990947
2M,"[20,50)",mpest,500,0.0355730606061,0.00630613109246
2M,"[20,50)",mpest,250,0.0434782424242,0.010374201647
2M,"[20,50)",mpest,100,0.083004030303,0.0118377405786
2M,"[20,50)",mpest,50,0.12384730303,0.0133221330326
2M,"[20,50)",caml,1000,0.0447957878788,0.00883525055796
2M,"[20,50)",caml,750,0.0500658484848,0.00915109809145
2M,"[20,50)",caml,500,0.055335969697,0.010419739193
2M,"[20,50)",caml,250,0.0645586363636,0.0107232565719
2M,"[20,50)",caml,100,0.100131818182,0.0109417662446
2M,"[20,50)",caml,50,0.158102818182,0.0137954404802
2M,"[20,50)",svdquartets,1000,0.0988143030303,0.0126746561701
2M,"[20,50)",svdquartets,750,0.102766939394,0.0100024482986
2M,"[20,50)",svdquartets,500,0.102766878788,0.0108354848222
2M,"[20,50)",svdquartets,250,0.100131818182,0.01228690192
2M,"[20,50)",svdquartets,100,0.130434939394,0.0126372435343
2M,"[20,50)",svdquartets,50,0.166007939394,0.0156396686605
2M,"[50,80)",astral,1000,0.0869567428571,0.00912854841726
2M,"[50,80)",astral,750,0.0869566857143,0.00745343333349
2M,"[50,80)",astral,500,0.0819877428571,0.00856539165792
2M,"[50,80)",astral,250,0.0906832571429,0.0101486154649
2M,"[50,80)",astral,100,0.109316857143,0.012468407522
2M,"[50,80)",astral,50,0.134161571429,0.0129540149908
2M,"[50,80)",astrid,1000,0.0869566857143,0.0106861405829
2M,"[50,80)",astrid,750,0.0795032,0.00814319802863
2M,"[50,80)",astrid,500,0.0869566571429,0.00805062298109
2M,"[50,80)",astrid,250,0.0844721428571,0.0112410960514
2M,"[50,80)",astrid,100,0.103105657143,0.0124330004406
2M,"[50,80)",astrid,50,0.119254714286,0.0135332859357
